customer_id,booking_id,session_id,payment_method,payment_status,promo_amount,promo_code,shipment_fee,shipment_location_lat,shipment_location_long,total_amount,product_id,quantity,item_price,event_offset
56249,8b814fb1-866f-490e-8a86-336a0ec07ce6,764e800f-0e4d-41f4-86b7-ac125e09f8f7,OVO,Success,0,,10000,-6.760482681728943,107.14503817685424,234659,59595,1,224659,108
88526,afd64790-3605-4d36-b5b0-abd2e3a5823d,8bdc6d05-b7c2-422c-a74c-b636ae0bc660,Credit Card,Success,3881,WEEKENDSERU,10000,0.4589778843609871,117.28501320632697,283036,17183,1,276917,33
41121,798a298b-2966-4d69-8b9a-fadc4f87b857,eacfe57e-6c19-413a-a3eb-4c79f94a1f33,Credit Card,Success,0,,0,-6.186397249887279,106.87260726059492,92318,45127,1,92318,110
14151,21656164-fa7c-43c7-a369-0fb05a980299,83a01b81-fe42-43bb-97d1-93244c847594,Gopay,Success,0,,0,-0.2756159784937591,110.5295823967233,527040,44184,1,247548,116
14151,21656164-fa7c-43c7-a369-0fb05a980299,83a01b81-fe42-43bb-97d1-93244c847594,Gopay,Success,0,,0,-0.2756159784937591,110.5295823967233,527040,12913,1,279492,0
73079,98dee1ab-33d0-478e-a889-82886be40c4e,6f2e9435-ae77-4bee-8be8-14b2e23f34af,Credit Card,Success,0,,10000,-2.6010648030827284,102.55534581024726,443924,19949,1,433924,43
63189,68475cc3-39ae-4189-bd5b-4e6794a4f8fd,db825a88-45a0-41fd-afb0-9b0207f44877,Credit Card,Success,0,,0,-0.0131511742155367,111.70388398364476,1870157,32425,5,181685,41
63189,68475cc3-39ae-4189-bd5b-4e6794a4f8fd,db825a88-45a0-41fd-afb0-9b0207f44877,Credit Card,Success,0,,0,-0.0131511742155367,111.70388398364476,1870157,1862,4,190426,0
63189,68475cc3-39ae-4189-bd5b-4e6794a4f8fd,db825a88-45a0-41fd-afb0-9b0207f44877,Credit Card,Success,0,,0,-0.0131511742155367,111.70388398364476,1870157,24081,1,200028,0
99868,adda52a1-ca48-461e-8baf-cb1942144188,5390247f-66b5-4e20-b503-0c27d452f26d,Credit Card,Success,0,,10000,-6.203237522180833,106.74250089357336,248790,34590,1,238790,8
24822,202ef96e-917c-4069-8a71-ac2708519ee5,9ecb49d2-945e-4748-bb46-39761bb6756d,Credit Card,Failed,0,,10000,-6.15633353494389,106.77340914520704,224928,44511,1,214928,446
79559,9dd128c6-4811-4201-9ae5-dc0467d25874,92fbc898-623c-462c-8fb0-05b1e94be551,OVO,Success,0,,10000,-6.726245368899386,106.9038309440285,240309,22934,1,230309,82
11613,ceb6917c-5c33-47e1-b86b-8e3d55675e67,a35b5267-e0e3-4aec-8390-6314b053d750,LinkAja,Success,13977,LIBURDONG,10000,-3.006357236450945,115.87848239418123,193771,6901,1,197748,188
