session_id,event_name,event_id,traffic_source,product_id,quantity,item_price,payment_status,search_keywords,promo_code,promo_amount,event_offset
096fec88-b44c-4a27-ba14-48bcc1e670db,HOMEPAGE,881ee7c6-6d21-49c8-9e2f-e5cae9ea68e7,MOBILE,,,,,,,,0
12d8e1ff-a21b-4a6f-86f7-f5f31557986e,SCROLL,3057a1c1-828e-4d17-bf2c-a21292450613,MOBILE,,,,,,,,10
d7b4d7c4-17b3-48b7-92c3-73b484fd9f2f,SEARCH,649c483b-057b-4f5b-ac12-ac9e2ac216ff,MOBILE,,,,,T-Shirt,,,1
d5e152a1-e8d9-4d1a-a646-9ba7b31c5b96,SEARCH,9a060895-60e3-4ab3-8af0-566fb4f1dc9b,MOBILE,,,,,T-Shirt,,,1
04305057-f8b2-4265-bec1-8db695929418,SCROLL,7adf17f3-dece-4000-ae45-60c456504256,MOBILE,,,,,,,,0
fa00c2b3-1833-4c30-885d-8d4d8005f5d5,CLICK,8d549943-1178-40f4-b663-fe1ce2248cd6,MOBILE,,,,,,,,8
87143996-d899-4f12-bb29-d13be6b5121a,HOMEPAGE,975d9c27-e770-4522-8fb2-bb5464b24bbe,MOBILE,,,,,,,,14
8cb4ddbc-cd9c-426a-9e11-8d4395b3dd82,CLICK,03dc5cfa-1869-4b50-830b-17417163b3c4,WEB,,,,,,,,41
096fec88-b44c-4a27-ba14-48bcc1e670db,ITEM_DETAIL,0927a1ad-a05d-4953-9ca4-f1040c539845,MOBILE,,,,,,,,3
d82ac2dd-a91c-4614-9a1c-aaa867c2cd3f,ITEM_DETAIL,86a545db-fdef-440a-b039-770d664d59fb,MOBILE,,,,,,,,6
764e800f-0e4d-41f4-86b7-ac125e09f8f7,BOOKING,c3ee904f-d107-4dde-9ef4-aa3b1cfc5978,MOBILE,,,,Success,,,,20
6f2e9435-ae77-4bee-8be8-14b2e23f34af,HOMEPAGE,59b01c98-61da-4c40-a8f2-ee5496649431,MOBILE,,,,,,,,1
9bbfa7ac-3de0-4bf1-bb2b-4689873bacdf,CLICK,cddbcb36-17ff-4ccf-bea1-7cfac5e672d2,WEB,,,,,,,,25
8bdc6d05-b7c2-422c-a74c-b636ae0bc660,BOOKING,40580320-fa1b-47ff-98d2-d3a31c39732f,MOBILE,,,,Success,,,,6
d5e152a1-e8d9-4d1a-a646-9ba7b31c5b96,PROMO_PAGE,f395785f-0511-456f-830f-31959bff3bf8,MOBILE,,,,,,,,19
fd0fa79e-9fe2-45cb-9101-3ed10423c9b2,PROMO_PAGE,f7f3b140-7afa-4bb1-9185-3a87b8e621bc,MOBILE,,,,,,,,7
5203e8b7-4173-4ef4-b2d1-abc806a4febc,SCROLL,59f96815-33c6-44b4-9983-a2377748c2b2,MOBILE,,,,,,,,10
096fec88-b44c-4a27-ba14-48bcc1e670db,SCROLL,dc92d04a-be95-4be6-a05a-be0fe4f75ba6,MOBILE,,,,,,,,21
3aee9689-cd2d-4e0f-a811-1f3f5ea8d308,SCROLL,065b1089-f457-4e03-ac83-9445c7480f8e,MOBILE,,,,,,,,10
61f1f94b-5ea9-42e7-b2e5-6151a7452c33,SCROLL,13cb1edd-c138-46f2-bc94-5383aac37169,MOBILE,,,,,,,,4
8cb4ddbc-cd9c-426a-9e11-8d4395b3dd82,ITEM_DETAIL,fb17d2b4-496b-4a4e-a0b4-88738985eb29,WEB,,,,,,,,0
d5a49b65-de79-437c-a20d-b1a00ded9ef8,SCROLL,36bfa5f5-1835-4668-8e6f-e171e3682490,MOBILE,,,,,,,,5
04305057-f8b2-4265-bec1-8db695929418,HOMEPAGE,d70993c3-5926-4592-a9de-9e0bd7926d62,MOBILE,,,,,,,,1
57fa3b2c-7802-4a84-b3c9-a432d7da3c25,HOMEPAGE,6a63d562-8fd5-47b9-8f82-1adc239b3a8c,MOBILE,,,,,,,,1
3aee9689-cd2d-4e0f-a811-1f3f5ea8d308,ADD_TO_CART,bc97732e-350a-4119-b331-aa98752fe738,MOBILE,16285.0,1.0,379451.0,,,,,0
eacfe57e-6c19-413a-a3eb-4c79f94a1f33,BOOKING,651780e9-88fa-494b-96f4-524300d020c1,MOBILE,,,,Success,,,,26
6207eba8-61c5-4a83-b9e4-21fc1c3cf91c,ITEM_DETAIL,3b4907b1-174c-49fc-b1dc-6ab312d4fa57,MOBILE,,,,,,,,11
d5e152a1-e8d9-4d1a-a646-9ba7b31c5b96,SCROLL,5d4bad40-8f38-427d-8d7b-b18a230e9928,MOBILE,,,,,,,,5
096fec88-b44c-4a27-ba14-48bcc1e670db,SEARCH,1829d5ed-055c-4e20-99de-22168a8e9e78,MOBILE,,,,,T-shirt,,,32
fa00c2b3-1833-4c30-885d-8d4d8005f5d5,CLICK,2e572871-de66-4f05-937a-9821c42fc40f,MOBILE,,,,,,,,15
c6289c52-a3b0-41a2-8b6a-1a310823fa5e,HOMEPAGE,91b3a05f-ee25-4e64-99cd-d55c07ea3525,MOBILE,,,,,,,,13
724959bf-2336-4e26-8760-92cfda3468eb,HOMEPAGE,97e0a379-8b29-47dd-bbfe-482b76c39b32,MOBILE,,,,,,,,6
8cb4ddbc-cd9c-426a-9e11-8d4395b3dd82,SEARCH,0048361d-24d6-475c-aecc-cb568aa97e0c,WEB,,,,,Second,,,21
97358235-9f47-4379-8269-8f3fb0b47169,SEARCH,773f0079-4771-41e5-9135-1c08167af64b,MOBILE,,,,,Celana Panjang,,,8
764e800f-0e4d-41f4-86b7-ac125e09f8f7,SEARCH,b306a2d2-c42c-417e-9dac-5629b51f7703,MOBILE,,,,,T-Shirt,,,3
83a01b81-fe42-43bb-97d1-93244c847594,BOOKING,6a67c6af-1389-4ea0-a941-c21b9f4ea5e9,MOBILE,,,,Success,,,,0
789d4743-7eb6-4121-be0f-f7e0ae7403f1,ADD_TO_CART,a3a93366-9920-48ca-b268-28114a2c9626,MOBILE,6987.0,1.0,219326.0,,,,,20
3b2a2230-1d5e-4a3e-aec9-8499b5e4e84d,ADD_TO_CART,b8b42f1c-19c2-4246-9ee5-2beceee723bd,MOBILE,34036.0,1.0,252352.0,,,,,5
096fec88-b44c-4a27-ba14-48bcc1e670db,SCROLL,5eef8558-ce59-4d4b-83e8-9acf4b2c1d02,MOBILE,,,,,,,,5
d5e152a1-e8d9-4d1a-a646-9ba7b31c5b96,CLICK,5898d199-91ff-4f2a-a3f2-f3f7f9b8c596,MOBILE,,,,,,,,0
2246fd87-1cf0-42fb-be36-262397191cf3,CLICK,e9570f99-81e8-4f1c-bf81-22fc0d71b00b,MOBILE,,,,,,,,3
fc1e787e-519b-4e4f-a2cb-ae6015a81088,CLICK,9c9f66b4-a3d8-4267-817c-7879d8986565,MOBILE,,,,,,,,2
6f2e9435-ae77-4bee-8be8-14b2e23f34af,BOOKING,b48e940b-4e32-4226-80fc-21c328f9537b,MOBILE,,,,Success,,,,4
3b2a2230-1d5e-4a3e-aec9-8499b5e4e84d,SEARCH,b995d8e5-4a99-4e3e-b61f-88804abe7804,MOBILE,,,,,Dress Kondangan,,,0
